t,s,kappa,tau
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,0,nan,nan
0.005000,3.411449361e-14,nan,nan
0.005000,0.004541702705,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,0,nan,nan
0.010000,6.038516538e-14,nan,nan
0.010000,0.01351432946,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,0,nan,nan
0.015000,8.87801178e-14,nan,nan
0.015000,0.02680980896,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,0,nan,nan
0.020000,1.157790328e-13,nan,nan
0.020000,0.04432270575,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,0,nan,nan
0.025000,1.416300004e-13,nan,nan
0.025000,0.06595015602,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,0,nan,nan
0.030000,1.663611332e-13,nan,nan
0.030000,0.09159180478,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,0,nan,nan
0.035000,1.899411394e-13,nan,nan
0.035000,0.1211497448,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,0,nan,nan
0.040000,2.124628067e-13,nan,nan
0.040000,0.1545284567,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,0,nan,nan
0.045000,2.339367551e-13,nan,nan
0.045000,0.191634751,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,0,nan,nan
0.050000,2.544030631e-13,nan,nan
0.050000,0.232377711,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,0,nan,nan
0.055000,2.738992523e-13,nan,nan
0.055000,0.2766686375,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,0,nan,nan
0.060000,2.92451567e-13,nan,nan
0.060000,0.3244209949,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,0,nan,nan
0.065000,3.100952651e-13,nan,nan
0.065000,0.3755503579,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,0,nan,nan
0.070000,3.268610634e-13,nan,nan
0.070000,0.4299743605,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,0,nan,nan
0.075000,3.427799405e-13,nan,nan
0.075000,0.4876126458,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,0,nan,nan
0.080000,3.578783723e-13,nan,nan
0.080000,0.5483868165,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,0,nan,nan
0.085000,3.721874091e-13,nan,nan
0.085000,0.6122203876,nan,nan
0.090000,0,nan,nan
0.090000,0,nan,nan
0.090000,0,nan,nan
0.090000,0,nan,nan
0.090000,0,nan,nan
0.090000,0,nan,nan
0.090000,0,nan,nan
0.090000,0,nan,nan
0.090000,0,nan,nan
0.090000,0,nan,nan
0.090000,0,nan,nan
0.090000,0,nan,nan
0.090000,0,nan,nan
0.090000,0,nan,nan
0.090000,0,nan,nan
0.090000,0,nan,nan
0.090000,0,nan,nan
0.090000,0,nan,nan
0.090000,0,nan,nan
0.090000,0,nan,nan
0.090000,0,nan,nan
0.090000,0,nan,nan
0.090000,0,nan,nan
